Provinsi;Kab/Kota;Persentase Penduduk Miskin (P0) Menurut Kabupaten/Kota (Persen);Rata-rata Lama Sekolah Penduduk 15+ (Tahun);Indeks Pembangunan Manusia;Persentase rumah tangga yang memiliki akses terhadap sanitasi layak;Persentase rumah tangga yang memiliki akses terhadap air minum layak;Tingkat Pengangguran Terbuka;Tingkat Partisipasi Angkatan Kerja
ACEH;Simeulue;18,98;9,48;66,41;71,56;87,45;5,71;71,15
ACEH;Aceh Singkil;20,36;8,68;69,22;69,56;78,58;8,36;62,85
ACEH;Aceh Selatan;13,18;8,88;67,44;62,55;79,65;6,46;60,85
ACEH;Aceh Tenggara;13,41;9,67;69,44;62,71;86,71;6,43;69,62
ACEH;Aceh Timur;14,45;8,21;67,83;66,75;83,16;7,13;59,48
ACEH;Aceh Tengah;15,26;9,86;73,37;90,58;90,1;2,61;76,3
ACEH;Aceh Barat;18,81;9,55;71,67;89,6;94,22;7,09;60,05
ACEH;Aceh Besar;14,05;10,33;73,58;87,4;82,36;7,7;61,67
ACEH;Pidie;19,59;9;70,7;54,1;89,24;7,28;60,29
ACEH;Bireuen;13,25;9,29;72,33;81,89;93,53;4,32;65,91
ACEH;Aceh Utara;17,43;8,64;69,46;79,97;91,09;8,31;58,47
ACEH;Aceh Barat Daya;16,34;8,67;66,99;65,71;95,34;4,04;57,91
ACEH;Gayo Lues;19,64;8,4;67,56;47,63;84,68;1,84;78,99
ACEH;Aceh Tamiang;13,34;8,91;69,48;87,45;83,12;5,87;66,43
ACEH;Nagan Raya;18,23;8,69;69,31;74,86;90,13;4,99;64,99
ACEH;Aceh Jaya;13,23;8,71;69,84;81,6;86,36;3,47;72,59
ACEH;Bener Meriah;19,16;10;73,27;86,69;89,71;1,24;77,53
ACEH;Pidie Jaya;19,55;9,34;73,6;74,3;93,46;3,57;57,77
ACEH;Kota Banda Aceh;7,61;12,83;85,71;99,88;99,37;8,94;63
ACEH;Kota Sabang;15,32;11,18;76,11;92,25;96,18;3,56;63,71
ACEH;Kota Langsa;10,96;11,12;77,44;91,81;97,14;7,21;67,04
ACEH;Kota Lhokseumawe;11,16;11,11;77,57;93,1;94,44;11,16;63,91
ACEH;Kota Subulussalam;17,65;8,03;65,27;69,71;60,87;6,26;63,78
